Ticker_Symbol,Years,Period_Ending,Total_Revenue,Cost_of_Goods_Sold,Sales_General_and_Admin,Research_and_Development,Other_Operating_Items,GICS_Sector,GICS_Sub_Industry
ADBE,Year 1,11/29/2013,4055240000.0,586557000.0,2140578000.0,826631000.0,52254000.0,Information Technology,Application Software
ADBE,Year 2,11/28/2014,4147065000.0,622080000.0,2195640000.0,844353000.0,52424000.0,Information Technology,Application Software
ADBE,Year 3,11/27/2015,4795511000.0,744317000.0,2215161000.0,862730000.0,68649000.0,Information Technology,Application Software
ADBE,Year 4,12/2/2016,5854430000.0,819908000.0,2487907000.0,975987000.0,78534000.0,Information Technology,Application Software
ADI,Year 1,11/2/2013,2633689000.0,941278000.0,396233000.0,513035000.0,220000.0,Information Technology,Semiconductors
ADI,Year 2,11/1/2014,2864773000.0,1034585000.0,454676000.0,559686000.0,26020000.0,Information Technology,Semiconductors
ADI,Year 3,10/31/2015,3435092000.0,1175830000.0,702644000.0,637459000.0,88318000.0,Information Technology,Semiconductors
ADI,Year 4,10/29/2016,3421409000.0,1194236000.0,461438000.0,653816000.0,70123000.0,Information Technology,Semiconductors
ADM,Year 1,12/31/2012,90559000000.0,86936000000.0,1665000000.0,0.0,0.0,Consumer Staples,Agricultural Products
ADM,Year 2,12/31/2013,89804000000.0,85915000000.0,1759000000.0,0.0,0.0,Consumer Staples,Agricultural Products
ADM,Year 3,12/31/2014,81201000000.0,76433000000.0,1907000000.0,0.0,0.0,Consumer Staples,Agricultural Products
ADM,Year 4,12/31/2015,67702000000.0,63682000000.0,2010000000.0,0.0,0.0,Consumer Staples,Agricultural Products
ADS,Year 1,12/31/2012,3641390000.0,2392091000.0,108059000.0,0.0,166876000.0,Information Technology,Data Processing & Outsourced Services
ADS,Year 2,12/31/2013,4319063000.0,2894917000.0,109115000.0,0.0,216119000.0,Information Technology,Data Processing & Outsourced Services
ADS,Year 3,12/31/2014,5302940000.0,3643979000.0,247412000.0,0.0,313082000.0,Information Technology,Data Processing & Outsourced Services
ADS,Year 4,12/31/2015,6439746000.0,4482700000.0,203046000.0,0.0,492140000.0,Information Technology,Data Processing & Outsourced Services
ADSK,Year 1,1/31/2013,2312200000.0,238500000.0,1081800000.0,600000000.0,42100000.0,Information Technology,Application Software
ADSK,Year 2,1/31/2014,2273900000.0,274300000.0,1054400000.0,611100000.0,36500000.0,Information Technology,Application Software
ADSK,Year 3,1/31/2015,2512200000.0,342100000.0,1281300000.0,725200000.0,39800000.0,Information Technology,Application Software
ADSK,Year 4,1/31/2016,2504100000.0,370700000.0,1308900000.0,790000000.0,33200000.0,Information Technology,Application Software
AEE,Year 1,12/31/2012,5781000000.0,3477000000.0,443000000.0,0.0,673000000.0,Utilities,MultiUtilities
AEE,Year 2,12/31/2013,5838000000.0,3490000000.0,458000000.0,0.0,706000000.0,Utilities,MultiUtilities
AEE,Year 3,12/31/2014,6053000000.0,3586000000.0,468000000.0,0.0,745000000.0,Utilities,MultiUtilities
AEE,Year 4,12/31/2015,6098000000.0,3501000000.0,542000000.0,0.0,796000000.0,Utilities,MultiUtilities
AEP,Year 1,12/31/2012,14945000000.0,6395000000.0,3812000000.0,0.0,1782000000.0,Utilities,Electric Utilities
AEP,Year 2,12/31/2013,14813500000.0,6722300000.0,3329800000.0,0.0,1712500000.0,Utilities,Electric Utilities
AEP,Year 3,12/31/2014,16378600000.0,7685700000.0,3667900000.0,0.0,1897600000.0,Utilities,Electric Utilities
AEP,Year 4,12/31/2015,16453200000.0,7433500000.0,3676500000.0,0.0,2009700000.0,Utilities,Electric Utilities
AFL,Year 1,12/31/2012,25364000000.0,17074000000.0,0.0,0.0,3727000000.0,Financials,Life & Health Insurance
AFL,Year 2,12/31/2013,23939000000.0,15341000000.0,0.0,0.0,3489000000.0,Financials,Life & Health Insurance
AFL,Year 3,12/31/2014,22728000000.0,14373000000.0,0.0,0.0,3547000000.0,Financials,Life & Health Insurance
AFL,Year 4,12/31/2015,20872000000.0,13049000000.0,0.0,0.0,3672000000.0,Financials,Life & Health Insurance
AIG,Year 1,12/31/2012,71214000000.0,37745000000.0,21491000000.0,0.0,0.0,Financials,Property & Casualty Insurance
AIG,Year 2,12/31/2013,68874000000.0,34660000000.0,22005000000.0,0.0,0.0,Financials,Property & Casualty Insurance
AIG,Year 3,12/31/2014,64406000000.0,33611000000.0,18491000000.0,0.0,0.0,Financials,Property & Casualty Insurance
AIG,Year 4,12/31/2015,58327000000.0,36581000000.0,16417000000.0,0.0,0.0,Financials,Property & Casualty Insurance
AIV,Year 1,12/31/2012,958511000.0,386355000.0,61732000.0,0.0,325173000.0,Real Estate,REITs
AIV,Year 2,12/31/2013,974053000.0,380051000.0,53073000.0,0.0,291910000.0,Real Estate,REITs
AIV,Year 3,12/31/2014,984363000.0,380964000.0,56621000.0,0.0,282608000.0,Real Estate,REITs
AIV,Year 4,12/31/2015,981310000.0,365248000.0,53546000.0,0.0,306301000.0,Real Estate,REITs
AIZ,Year 1,12/31/2013,9047657000.0,6709936000.0,0.0,0.0,1470287000.0,Financials,Multi-line Insurance
AIZ,Year 2,12/31/2014,10381653000.0,8093563000.0,0.0,0.0,1485558000.0,Financials,Multi-line Insurance
AIZ,Year 3,12/31/2015,10325494000.0,8666624000.0,0.0,0.0,1402573000.0,Financials,Multi-line Insurance
AIZ,Year 4,12/31/2016,7531780000.0,5251228000.0,0.0,0.0,1351314000.0,Financials,Multi-line Insurance
AKAM,Year 1,12/31/2012,1373947000.0,529900000.0,433448000.0,74744000.0,20962000.0,Information Technology,Internet Software & Services
AKAM,Year 2,12/31/2013,1577922000.0,511087000.0,535598000.0,93879000.0,21547000.0,Information Technology,Internet Software & Services
AKAM,Year 3,12/31/2014,1963874000.0,610943000.0,704880000.0,125286000.0,32057000.0,Information Technology,Internet Software & Services
AKAM,Year 4,12/31/2015,2197448000.0,725620000.0,829253000.0,148591000.0,27067000.0,Information Technology,Internet Software & Services
ALB,Year 1,12/31/2012,2519154000.0,1620311000.0,308456000.0,78919000.0,0.0,Materials,Specialty Chemicals
ALB,Year 2,12/31/2013,2394270000.0,1543799000.0,158189000.0,82246000.0,0.0,Materials,Specialty Chemicals
ALB,Year 3,12/31/2014,2445548000.0,1674700000.0,355135000.0,88310000.0,0.0,Materials,Specialty Chemicals
ALB,Year 4,12/31/2015,3651335000.0,2454463000.0,512274000.0,102871000.0,0.0,Materials,Specialty Chemicals
ALK,Year 1,12/31/2012,4657000000.0,2319000000.0,1542000000.0,0.0,264000000.0,Industrials,Airlines
ALK,Year 2,12/31/2013,5156000000.0,2355000000.0,1693000000.0,0.0,270000000.0,Industrials,Airlines
ALK,Year 3,12/31/2014,5368000000.0,2325000000.0,1817000000.0,0.0,294000000.0,Industrials,Airlines
ALK,Year 4,12/31/2015,5598000000.0,1935000000.0,2013000000.0,0.0,320000000.0,Industrials,Airlines
ALL,Year 1,12/31/2012,33315000000.0,21618000000.0,0.0,0.0,8002000000.0,Financials,Property & Casualty Insurance
ALL,Year 2,12/31/2013,34507000000.0,19828000000.0,1278000000.0,0.0,8389000000.0,Financials,Property & Casualty Insurance
ALL,Year 3,12/31/2014,35239000000.0,21193000000.0,919000000.0,0.0,8476000000.0,Financials,Property & Casualty Insurance
ALL,Year 4,12/31/2015,35653000000.0,22837000000.0,761000000.0,0.0,8445000000.0,Financials,Property & Casualty Insurance
ALLE,Year 1,12/31/2013,2069600000.0,1208100000.0,483100000.0,0.0,0.0,Industrials,Building Products
ALLE,Year 2,12/31/2014,2118300000.0,1264600000.0,527400000.0,0.0,0.0,Industrials,Building Products
ALLE,Year 3,12/31/2015,2068100000.0,1199000000.0,510500000.0,0.0,0.0,Industrials,Building Products
ALLE,Year 4,12/31/2016,2238000000.0,1252700000.0,559800000.0,0.0,0.0,Industrials,Building Products
ALXN,Year 1,12/31/2013,1551346000.0,177556000.0,493726000.0,317093000.0,417000.0,Health Care,Biotechnology
ALXN,Year 2,12/31/2014,2234000000.0,174000000.0,650000000.0,514000000.0,0.0,Health Care,Biotechnology
ALXN,Year 3,12/31/2015,2604000000.0,233000000.0,927000000.0,709000000.0,117000000.0,Health Care,Biotechnology
ALXN,Year 4,12/31/2016,3084000000.0,258000000.0,990000000.0,757000000.0,322000000.0,Health Care,Biotechnology
AMAT,Year 1,10/27/2013,7509000000.0,4518000000.0,898000000.0,1320000000.0,0.0,Information Technology,Semiconductor Equipment
AMAT,Year 2,10/26/2014,9072000000.0,5229000000.0,895000000.0,1428000000.0,0.0,Information Technology,Semiconductor Equipment
AMAT,Year 3,10/25/2015,9659000000.0,5707000000.0,808000000.0,1451000000.0,0.0,Information Technology,Semiconductor Equipment
AMAT,Year 4,10/30/2016,10825000000.0,6314000000.0,819000000.0,1540000000.0,0.0,Information Technology,Semiconductor Equipment
AME,Year 1,12/31/2012,3334213000.0,2154132000.0,380532000.0,0.0,53677000.0,Industrials,Electrical Components & Equipment
AME,Year 2,12/31/2013,3594136000.0,2323642000.0,398177000.0,0.0,57238000.0,Industrials,Electrical Components & Equipment
AME,Year 3,12/31/2014,4021964000.0,2597017000.0,462637000.0,0.0,63724000.0,Industrials,Electrical Components & Equipment
AME,Year 4,12/31/2015,3974295000.0,2549280000.0,448592000.0,0.0,68707000.0,Industrials,Electrical Components & Equipment
AMGN,Year 1,12/31/2013,18676000000.0,3346000000.0,5380000000.0,4083000000.0,0.0,Health Care,Biotechnology
AMGN,Year 2,12/31/2014,20063000000.0,4422000000.0,5153000000.0,4297000000.0,0.0,Health Care,Biotechnology
AMGN,Year 3,12/31/2015,21662000000.0,4227000000.0,4895000000.0,4070000000.0,0.0,Health Care,Biotechnology
AMGN,Year 4,12/31/2016,22991000000.0,4162000000.0,5195000000.0,3840000000.0,0.0,Health Care,Biotechnology
AMP,Year 1,12/31/2012,10259000000.0,1899000000.0,3927000000.0,0.0,2877000000.0,Financials,Asset Management & Custody Banks
AMP,Year 2,12/31/2013,11230000000.0,1954000000.0,3862000000.0,0.0,3132000000.0,Financials,Asset Management & Custody Banks
AMP,Year 3,12/31/2014,12296000000.0,1982000000.0,3808000000.0,0.0,3603000000.0,Financials,Asset Management & Custody Banks
AMP,Year 4,12/31/2015,12200000000.0,2261000000.0,3750000000.0,0.0,3630000000.0,Financials,Asset Management & Custody Banks
AMT,Year 1,12/31/2012,2875960000.0,722479000.0,389486000.0,0.0,644276000.0,Real Estate,Specialized REITs
AMT,Year 2,12/31/2013,3361407000.0,859873000.0,487084000.0,0.0,800145000.0,Real Estate,Specialized REITs
AMT,Year 3,12/31/2014,4100048000.0,1094265000.0,515059000.0,0.0,1003802000.0,Real Estate,Specialized REITs
AMT,Year 4,12/31/2015,4771516000.0,1308868000.0,564531000.0,0.0,1285328000.0,Real Estate,Specialized REITs
AMZN,Year 1,12/31/2013,74452000000.0,54181000000.0,19526000000.0,0.0,0.0,Consumer Discretionary,Internet & Direct Marketing Retail
AMZN,Year 2,12/31/2014,88988000000.0,62752000000.0,26058000000.0,0.0,0.0,Consumer Discretionary,Internet & Direct Marketing Retail
AMZN,Year 3,12/31/2015,107006000000.0,71651000000.0,33122000000.0,0.0,0.0,Consumer Discretionary,Internet & Direct Marketing Retail
AMZN,Year 4,12/31/2016,135987000000.0,88265000000.0,43536000000.0,0.0,0.0,Consumer Discretionary,Internet & Direct Marketing Retail
AN,Year 1,12/31/2013,17517600000.0,14757700000.0,1924300000.0,0.0,95300000.0,Consumer Discretionary,Specialty Stores
AN,Year 2,12/31/2014,19108800000.0,16120100000.0,2061000000.0,0.0,106900000.0,Consumer Discretionary,Specialty Stores
AN,Year 3,12/31/2015,20862000000.0,17600500000.0,2245600000.0,0.0,127400000.0,Consumer Discretionary,Specialty Stores
AN,Year 4,12/31/2016,21609000000.0,18295800000.0,2280300000.0,0.0,143400000.0,Consumer Discretionary,Specialty Stores
ANTM,Year 1,12/31/2012,61497200000.0,48213600000.0,8680500000.0,0.0,233000000.0,Health Care,Managed Health Care
ANTM,Year 2,12/31/2013,71023500000.0,56237100000.0,9952900000.0,0.0,245300000.0,Health Care,Managed Health Care
ANTM,Year 3,12/31/2014,73874100000.0,56854900000.0,11748400000.0,0.0,220900000.0,Health Care,Managed Health Care
ANTM,Year 4,12/31/2015,79156500000.0,61116900000.0,12534800000.0,0.0,230100000.0,Health Care,Managed Health Care
APA,Year 1,12/31/2012,16428000000.0,3079000000.0,1333000000.0,0.0,6881000000.0,Energy,Oil & Gas Exploration & Production
APA,Year 2,12/31/2013,14771000000.0,2938000000.0,1286000000.0,0.0,5866000000.0,Energy,Oil & Gas Exploration & Production
APA,Year 3,12/31/2014,12691000000.0,2511000000.0,1095000000.0,0.0,9720000000.0,Energy,Oil & Gas Exploration & Production
APA,Year 4,12/31/2015,6383000000.0,2065000000.0,791000000.0,0.0,29372000000.0,Energy,Oil & Gas Exploration & Production
APC,Year 1,12/31/2013,14581000000.0,2942000000.0,2256000000.0,0.0,3927000000.0,Energy,Oil & Gas Exploration & Production
APC,Year 2,12/31/2014,18470000000.0,3317000000.0,2725000000.0,0.0,4550000000.0,Energy,Oil & Gas Exploration & Production
APC,Year 3,12/31/2015,8698000000.0,3185000000.0,2000000000.0,0.0,4603000000.0,Energy,Oil & Gas Exploration & Production
APC,Year 4,12/31/2016,7869000000.0,2900000000.0,2094000000.0,0.0,4301000000.0,Energy,Oil & Gas Exploration & Production
APD,Year 1,9/30/2013,10180400000.0,7472100000.0,1018600000.0,133700000.0,0.0,Materials,Industrial Gases
APD,Year 2,9/30/2014,10439000000.0,7629900000.0,1007400000.0,139800000.0,0.0,Materials,Industrial Gases
APD,Year 3,9/30/2015,9894900000.0,6939000000.0,895300000.0,137100000.0,0.0,Materials,Industrial Gases
APD,Year 4,9/30/2016,9524400000.0,6402700000.0,797600000.0,132000000.0,0.0,Materials,Industrial Gases
APH,Year 1,12/31/2012,4292100000.0,2948900000.0,512900000.0,0.0,0.0,Information Technology,Electronic Components
APH,Year 2,12/31/2013,4614700000.0,3163900000.0,548000000.0,0.0,0.0,Information Technology,Electronic Components
APH,Year 3,12/31/2014,5345500000.0,3651700000.0,645100000.0,0.0,0.0,Information Technology,Electronic Components
APH,Year 4,12/31/2015,5568700000.0,3789200000.0,669100000.0,0.0,0.0,Information Technology,Electronic Components
ARNC,Year 1,12/31/2012,23700000000.0,20401000000.0,997000000.0,197000000.0,1460000000.0,Industrials,Aerospace & Defense
ARNC,Year 2,12/31/2013,23032000000.0,19286000000.0,1008000000.0,192000000.0,1421000000.0,Industrials,Aerospace & Defense
ARNC,Year 3,12/31/2014,23906000000.0,19137000000.0,995000000.0,218000000.0,1371000000.0,Industrials,Aerospace & Defense
ARNC,Year 4,12/31/2015,22534000000.0,18069000000.0,979000000.0,238000000.0,1280000000.0,Industrials,Aerospace & Defense
ATVI,Year 1,12/31/2012,4856000000.0,1662000000.0,1139000000.0,604000000.0,0.0,Information Technology,Home Entertainment Software
ATVI,Year 2,12/31/2013,4583000000.0,1531000000.0,1096000000.0,584000000.0,0.0,Information Technology,Home Entertainment Software
ATVI,Year 3,12/31/2014,4408000000.0,1525000000.0,1129000000.0,571000000.0,0.0,Information Technology,Home Entertainment Software
ATVI,Year 4,12/31/2015,4664000000.0,1585000000.0,1114000000.0,646000000.0,0.0,Information Technology,Home Entertainment Software
AVGO,Year 1,11/1/2015,6824000000.0,3271000000.0,486000000.0,1049000000.0,249000000.0,Information Technology,Semiconductors
AVGO,Year 2,10/30/2016,13240000000.0,7300000000.0,806000000.0,2674000000.0,1873000000.0,Information Technology,Semiconductors
AVY,Year 1,12/31/2012,5863500000.0,4335300000.0,1148900000.0,0.0,0.0,Materials,Paper Packaging
AVY,Year 2,12/28/2013,6140000000.0,4502300000.0,1174200000.0,0.0,0.0,Materials,Paper Packaging
AVY,Year 3,1/3/2015,6330300000.0,4679100000.0,1158900000.0,0.0,0.0,Materials,Paper Packaging
AVY,Year 4,1/2/2016,5966900000.0,4321100000.0,1108100000.0,0.0,0.0,Materials,Paper Packaging
AWK,Year 1,12/31/2012,2853926000.0,1329500000.0,220758000.0,0.0,380402000.0,Utilities,Water Utilities
AWK,Year 2,12/31/2013,2879000000.0,1289000000.0,234000000.0,0.0,407000000.0,Utilities,Water Utilities
AWK,Year 3,12/31/2014,3011000000.0,1350000000.0,236000000.0,0.0,424000000.0,Utilities,Water Utilities
AWK,Year 4,12/31/2015,3159000000.0,1404000000.0,243000000.0,0.0,440000000.0,Utilities,Water Utilities
AXP,Year 1,12/31/2012,33781000000.0,480000000.0,23392000000.0,0.0,1712000000.0,Financials,Consumer Finance
AXP,Year 2,12/31/2013,34828000000.0,442000000.0,23150000000.0,0.0,1832000000.0,Financials,Consumer Finance
AXP,Year 3,12/31/2014,35895000000.0,373000000.0,23153000000.0,0.0,2044000000.0,Financials,Consumer Finance
AXP,Year 4,12/31/2015,34441000000.0,475000000.0,22892000000.0,0.0,1988000000.0,Financials,Consumer Finance
AYI,Year 1,8/31/2013,2089100000.0,1251500000.0,607600000.0,0.0,0.0,Industrials,Electrical Components & Equipment
AYI,Year 2,8/31/2014,2393500000.0,1414300000.0,680300000.0,0.0,0.0,Industrials,Electrical Components & Equipment
AYI,Year 3,8/31/2015,2706700000.0,1561100000.0,756900000.0,0.0,0.0,Industrials,Electrical Components & Equipment
AYI,Year 4,8/31/2016,3291300000.0,1855100000.0,946000000.0,0.0,0.0,Industrials,Electrical Components & Equipment
AZO,Year 1,8/31/2013,9147530000.0,4406595000.0,2967837000.0,0.0,0.0,Consumer Discretionary,Specialty Stores
AZO,Year 2,8/30/2014,9475313000.0,4540406000.0,3104684000.0,0.0,0.0,Consumer Discretionary,Specialty Stores
AZO,Year 3,8/29/2015,10187340000.0,4860309000.0,3373980000.0,0.0,0.0,Consumer Discretionary,Specialty Stores
AZO,Year 4,8/27/2016,10635676000.0,5026940000.0,3548341000.0,0.0,0.0,Consumer Discretionary,Specialty Stores
BA,Year 1,12/31/2013,86623000000.0,73268000000.0,3742000000.0,3071000000.0,0.0,Industrials,Aerospace & Defense
BA,Year 2,12/31/2014,90762000000.0,76752000000.0,3480000000.0,3047000000.0,0.0,Industrials,Aerospace & Defense
BA,Year 3,12/31/2015,96114000000.0,82088000000.0,3251000000.0,3331000000.0,0.0,Industrials,Aerospace & Defense
BA,Year 4,12/31/2016,94571000000.0,80790000000.0,3313000000.0,4627000000.0,0.0,Industrials,Aerospace & Defense
BAC,Year 1,12/31/2012,100078000000.0,3753000000.0,70829000000.0,0.0,9433000000.0,Financials,Banks
BAC,Year 2,12/31/2013,101697000000.0,3034000000.0,68128000000.0,0.0,4642000000.0,Financials,Banks
BAC,Year 3,12/31/2014,95181000000.0,2656000000.0,74181000000.0,0.0,3211000000.0,Financials,Banks
BAC,Year 4,12/31/2015,93056000000.0,2204000000.0,56358000000.0,0.0,3995000000.0,Financials,Banks
BAX,Year 1,12/31/2012,13936000000.0,6802000000.0,3283000000.0,1081000000.0,0.0,Health Care,Health Care Equipment
BAX,Year 2,12/31/2013,9413000000.0,5251000000.0,3084000000.0,582000000.0,0.0,Health Care,Health Care Equipment
BAX,Year 3,12/31/2014,10719000000.0,6138000000.0,3315000000.0,610000000.0,0.0,Health Care,Health Care Equipment
BAX,Year 4,12/31/2015,9968000000.0,5822000000.0,3094000000.0,603000000.0,0.0,Health Care,Health Care Equipment
BBBY,Year 1,3/2/2013,10914585000.0,6525830000.0,2750537000.0,0.0,0.0,Consumer Discretionary,Specialty Stores
BBBY,Year 2,3/1/2014,11503963000.0,6938381000.0,2950995000.0,0.0,0.0,Consumer Discretionary,Specialty Stores
BBBY,Year 3,2/28/2015,11881176000.0,7261397000.0,3065486000.0,0.0,0.0,Consumer Discretionary,Specialty Stores
BBBY,Year 4,2/27/2016,12103887000.0,7483577000.0,3205407000.0,0.0,0.0,Consumer Discretionary,Specialty Stores
BBT,Year 1,12/31/2012,10737000000.0,429000000.0,5650000000.0,0.0,1167000000.0,Financials,Banks
BBT,Year 2,12/31/2013,10543000000.0,301000000.0,5625000000.0,0.0,698000000.0,Financials,Banks
BBT,Year 3,12/31/2014,9998000000.0,239000000.0,5715000000.0,0.0,342000000.0,Financials,Banks
BBT,Year 4,12/31/2015,10346000000.0,233000000.0,5996000000.0,0.0,533000000.0,Financials,Banks
BBY,Year 1,3/3/2012,45457000000.0,34473000000.0,8755000000.0,0.0,0.0,Consumer Discretionary,Computer & Electronics Retail
BBY,Year 2,2/1/2014,40611000000.0,31212000000.0,8106000000.0,0.0,0.0,Consumer Discretionary,Computer & Electronics Retail
BBY,Year 3,1/31/2015,40339000000.0,31292000000.0,7592000000.0,0.0,0.0,Consumer Discretionary,Computer & Electronics Retail
BBY,Year 4,1/30/2016,39528000000.0,30337000000.0,7618000000.0,0.0,0.0,Consumer Discretionary,Computer & Electronics Retail
BCR,Year 1,12/31/2013,3049500000.0,1194400000.0,920300000.0,295700000.0,0.0,Health Care,Health Care Equipment
BCR,Year 2,12/31/2014,3323600000.0,1258600000.0,981500000.0,302000000.0,0.0,Health Care,Health Care Equipment
BCR,Year 3,12/31/2015,3416000000.0,1301200000.0,1012100000.0,259200000.0,0.0,Health Care,Health Care Equipment
BCR,Year 4,12/31/2016,3714000000.0,1371700000.0,1101900000.0,292800000.0,0.0,Health Care,Health Care Equipment
BDX,Year 1,9/30/2013,8054000000.0,3883000000.0,2422000000.0,494000000.0,0.0,Health Care,Health Care Equipment
BDX,Year 2,9/30/2014,8446000000.0,4145000000.0,2145000000.0,550000000.0,0.0,Health Care,Health Care Equipment
BDX,Year 3,9/30/2015,10282000000.0,5587000000.0,2563000000.0,632000000.0,0.0,Health Care,Health Care Equipment
BDX,Year 4,9/30/2016,12483000000.0,6492000000.0,3005000000.0,828000000.0,0.0,Health Care,Health Care Equipment
BHI,Year 1,12/31/2013,22364000000.0,18553000000.0,1306000000.0,556000000.0,0.0,Energy,Oil & Gas Equipment & Services
BHI,Year 2,12/31/2014,24551000000.0,19746000000.0,1333000000.0,613000000.0,0.0,Energy,Oil & Gas Equipment & Services
BHI,Year 3,12/31/2015,15742000000.0,14415000000.0,969000000.0,466000000.0,0.0,Energy,Oil & Gas Equipment & Services
BHI,Year 4,12/31/2016,9841000000.0,9973000000.0,815000000.0,384000000.0,0.0,Energy,Oil & Gas Equipment & Services
BIIB,Year 1,12/31/2013,6932200000.0,857700000.0,1797000000.0,1444100000.0,342900000.0,Health Care,Biotechnology
BIIB,Year 2,12/31/2014,9703300000.0,1171000000.0,2193400000.0,1893400000.0,489800000.0,Health Care,Biotechnology
BIIB,Year 3,12/31/2015,10763800000.0,1240400000.0,2143600000.0,2012800000.0,382600000.0,Health Care,Biotechnology
BIIB,Year 4,12/31/2016,11448800000.0,1478700000.0,1972900000.0,1973300000.0,385600000.0,Health Care,Biotechnology
BLL,Year 1,12/31/2012,8735700000.0,7174000000.0,488300000.0,0.0,282900000.0,Materials,Metal & Glass Containers
BLL,Year 2,12/31/2013,8468100000.0,6875400000.0,497400000.0,0.0,299900000.0,Materials,Metal & Glass Containers
BLL,Year 3,12/31/2014,8570000000.0,6903500000.0,547000000.0,0.0,280900000.0,Materials,Metal & Glass Containers
BLL,Year 4,12/31/2015,7997000000.0,6460300000.0,646000000.0,0.0,285500000.0,Materials,Metal & Glass Containers
BMY,Year 1,12/31/2012,17621000000.0,4610000000.0,5017000000.0,3904000000.0,0.0,Health Care,Health Care Distributors
BMY,Year 2,12/31/2013,16385000000.0,4619000000.0,4939000000.0,3731000000.0,0.0,Health Care,Health Care Distributors
BMY,Year 3,12/31/2014,15879000000.0,3932000000.0,4822000000.0,4534000000.0,0.0,Health Care,Health Care Distributors
BMY,Year 4,12/31/2015,16560000000.0,3909000000.0,4841000000.0,5920000000.0,0.0,Health Care,Health Care Distributors
BSX,Year 1,12/31/2012,7249000000.0,2349000000.0,2529000000.0,886000000.0,395000000.0,Health Care,Health Care Equipment
BSX,Year 2,12/31/2013,7143000000.0,2174000000.0,2678000000.0,861000000.0,410000000.0,Health Care,Health Care Equipment
BSX,Year 3,12/31/2014,7380000000.0,2210000000.0,2817000000.0,817000000.0,438000000.0,Health Care,Health Care Equipment
BSX,Year 4,12/31/2015,7477000000.0,2173000000.0,2996000000.0,876000000.0,495000000.0,Health Care,Health Care Equipment
BWA,Year 1,12/31/2013,7436600000.0,5879100000.0,702300000.0,0.0,0.0,Consumer Discretionary,Auto Parts & Equipment
BWA,Year 2,12/31/2014,8305100000.0,6548700000.0,792700000.0,0.0,0.0,Consumer Discretionary,Auto Parts & Equipment
BWA,Year 3,12/31/2015,8023200000.0,6320100000.0,763400000.0,0.0,0.0,Consumer Discretionary,Auto Parts & Equipment
